2006-03-22 11:03:59.222,15.0,0.0151,>
2006-03-22 11:04:00.265,15.0,0.2554,>
2006-03-22 11:04:01.305,8.024,0.501,>
2006-03-22 11:04:02.345,8.024,0.6475,>
2006-03-22 11:04:03.395,8.024,0.7886,>
2006-03-22 11:04:04.425,8.024,0.9254,>
2006-03-22 11:04:05.475,8.024,1.0665,>
2006-03-22 11:04:06.505,8.024,1.2044,>
2006-03-22 11:04:07.555,8.024,1.3454,>
2006-03-22 11:04:08.595,8.024,1.4844,>
2006-03-22 11:04:09.625,8.024,1.6222,>
2006-03-22 11:04:10.665,8.024,1.7611,>
2006-03-22 11:04:11.705,8.024,1.9011,>
2006-03-22 11:04:12.745,8.024,2.0401,>
2006-03-22 11:04:13.815,8.024,2.1833,>
2006-03-22 11:04:14.835,8.024,2.32,>
2006-03-22 11:04:15.865,8.024,2.4578,>
2006-03-22 11:04:16.905,8.024,2.5968,>
2006-03-22 11:04:17.945,8.024,2.7357,>
2006-03-22 11:04:18.995,8.024,2.8767,>
2006-03-22 11:04:20.035,8.024,3.0157,>
2006-03-22 11:04:21.065,8.024,3.1536,>
2006-03-22 11:04:22.105,8.024,3.2936,>
2006-03-22 11:04:23.155,8.024,3.4336,>
2006-03-22 11:04:24.195,8.024,3.5735,>
2006-03-22 11:04:25.225,8.024,3.7115,>
2006-03-22 11:04:26.265,8.024,3.8503,>
2006-03-22 11:04:27.305,8.024,3.9892,>
2006-03-22 11:04:28.355,8.024,4.1304,>
2006-03-22 11:04:29.395,8.024,4.2692,>
2006-03-22 11:04:30.425,8.024,4.4071,>
2006-03-22 11:04:31.465,8.024,4.5461,>
2006-03-22 11:04:32.515,8.024,4.6871,>
2006-03-22 11:04:33.545,8.024,4.8249,>
2006-03-22 11:04:34.595,8.024,4.966,>
2006-03-22 11:04:35.625,8.024,5.1039,>
2006-03-22 11:04:36.665,8.024,5.2428,>
2006-03-22 11:04:37.705,8.024,5.3817,>
2006-03-22 11:04:38.745,8.024,5.5206,>
2006-03-22 11:04:39.795,8.024,5.6617,>
2006-03-22 11:04:40.825,8.024,5.7995,>
2006-03-22 11:04:41.865,8.024,5.9384,>
2006-03-22 11:04:42.905,8.024,6.0785,>
2006-03-22 11:04:43.945,8.024,6.2173,>
2006-03-22 11:04:44.995,8.024,6.3584,>
2006-03-22 11:04:46.025,8.024,6.4963,>
2006-03-22 11:04:47.075,8.024,6.6363,>
2006-03-22 11:04:48.115,8.024,6.7752,>
2006-03-22 11:04:49.145,8.024,6.9141,>
2006-03-22 11:04:50.195,8.024,7.0541,>
2006-03-22 11:04:51.225,8.024,7.1919,>
2006-03-22 11:04:52.265,8.024,7.3309,>
2006-03-22 11:04:53.305,8.024,7.4709,>
2006-03-22 11:04:54.345,8.024,7.6098,>
2006-03-22 11:04:55.395,8.024,7.7508,>
2006-03-22 11:04:56.425,8.024,7.8887,>
2006-03-22 11:04:57.465,8.024,8.0277,>
2006-03-22 11:04:58.505,8.024,8.1667,>
2006-03-22 11:04:59.555,8.024,8.308,>
2006-03-22 11:05:00.595,8.024,8.4469,>
2006-03-22 11:05:01.625,8.024,8.5245,:
2006-03-22 11:05:02.665,8.024,8.5245,:
2006-03-22 11:05:03.705,8.024,8.5245,:
